chlor,geometry,coordinates
-0.06712054217620078,"POLYGON ((-73.74943903800242 -39.999733813632, -73.74943903800242 -39.959309625846615, -73.70901485021705 -39.959309625846615, -73.70901485021705 -39.999733813632, -73.74943903800242 -39.999733813632))",[<shapely.coords.CoordinateSequence object at 0x7f7848253b50>]
-0.0369681249461017,"POLYGON ((-73.70452327379644 -39.999733813632, -73.70452327379644 -39.959309625846615, -73.66859066243167 -39.959309625846615, -73.66859066243167 -39.999733813632, -73.70452327379644 -39.999733813632))",[<shapely.coords.CoordinateSequence object at 0x7f7848253cd0>]
-0.061880730805688254,"POLYGON ((-73.74943903800242 -39.95481804942602, -73.74943903800242 -39.91888543806124, -73.70901485021705 -39.91888543806124, -73.70901485021705 -39.95481804942602, -73.74943903800242 -39.95481804942602))",[<shapely.coords.CoordinateSequence object at 0x7f78482537f0>]
-0.11013827874181155,"POLYGON ((-73.70452327379644 -39.95481804942602, -73.70452327379644 -39.91888543806124, -73.66859066243167 -39.91888543806124, -73.66859066243167 -39.95481804942602, -73.70452327379644 -39.95481804942602))",[<shapely.coords.CoordinateSequence object at 0x7f7848253850>]
-0.07160414774328613,"POLYGON ((-73.66409908601106 -39.95481804942602, -73.66409908601106 -39.91888543806124, -73.5877422868609 -39.91888543806124, -73.5877422868609 -39.95481804942602, -73.66409908601106 -39.95481804942602))",[<shapely.coords.CoordinateSequence object at 0x7f78481dd580>]
0.03726709456870999,"POLYGON ((-73.58325071044031 -39.95481804942602, -73.58325071044031 -39.91888543806124, -73.57426755759911 -39.91888543806124, -73.57426755759911 -39.95481804942602, -73.58325071044031 -39.95481804942602))",[<shapely.coords.CoordinateSequence object at 0x7f7819a7e0a0>]
-0.02209357236288166,"POLYGON ((-73.74943903800242 -39.91439386164064, -73.74943903800242 -39.900919132378846, -73.70901485021705 -39.900919132378846, -73.70901485021705 -39.91439386164064, -73.74943903800242 -39.91439386164064))",[<shapely.coords.CoordinateSequence object at 0x7f7819a7ed90>]
-0.00700490156865844,"POLYGON ((-73.70452327379644 -39.91439386164064, -73.70452327379644 -39.900919132378846, -73.66859066243167 -39.900919132378846, -73.66859066243167 -39.91439386164064, -73.70452327379644 -39.91439386164064))",[<shapely.coords.CoordinateSequence object at 0x7f7819a7e070>]
-0.1335945016219451,"POLYGON ((-73.66409908601106 -39.91439386164064, -73.66409908601106 -39.900919132378846, -73.62816647464628 -39.900919132378846, -73.62816647464628 -39.91439386164064, -73.66409908601106 -39.91439386164064))",[<shapely.coords.CoordinateSequence object at 0x7f784825c1c0>]
-0.047691990337874794,"POLYGON ((-73.62367489822569 -39.91439386164064, -73.62367489822569 -39.900919132378846, -73.57426755759911 -39.900919132378846, -73.57426755759911 -39.91439386164064, -73.62367489822569 -39.91439386164064))",[<shapely.coords.CoordinateSequence object at 0x7f784825c280>]
