chlor,geometry,coordinates
-0.2793446434482756,"POLYGON ((-73.99647574113528 -39.999733813632, -73.99647574113528 -39.959309625846615, -73.91562736556453 -39.91888543806124, -73.87520317777916 -39.91888543806124, -73.87520317777916 -39.95481804942602, -73.96054312977051 -39.999733813632, -73.99647574113528 -39.999733813632))",[<shapely.coords.CoordinateSequence object at 0x7f98916dce80>]
-0.223008415143595,"POLYGON ((-73.95605155334991 -39.999733813632, -73.95605155334991 -39.959309625846615, -73.92011894198512 -39.959309625846615, -73.92011894198512 -39.999733813632, -73.95605155334991 -39.999733813632))",[<shapely.coords.CoordinateSequence object at 0x7f98c0c9f310>]
-0.22475374025976358,"POLYGON ((-73.91562736556453 -39.999733813632, -73.91562736556453 -39.959309625846615, -73.87520317777916 -39.959309625846615, -73.87520317777916 -39.999733813632, -73.91562736556453 -39.999733813632))",[<shapely.coords.CoordinateSequence object at 0x7f98916cbe80>]
-0.4156687756324692,"POLYGON ((-73.87071160135855 -39.999733813632, -73.87071160135855 -39.959309625846615, -73.79435480220839 -39.959309625846615, -73.79435480220839 -39.999733813632, -73.87071160135855 -39.999733813632))",[<shapely.coords.CoordinateSequence object at 0x7f98916cb850>]
-0.43985416015095247,"POLYGON ((-73.7898632257878 -39.999733813632, -73.7898632257878 -39.959309625846615, -73.75393061442301 -39.959309625846615, -73.75393061442301 -39.999733813632, -73.7898632257878 -39.999733813632))",[<shapely.coords.CoordinateSequence object at 0x7f98916cbfd0>]
-0.4534573365218689,"POLYGON ((-73.74943903800242 -39.999733813632, -73.74943903800242 -39.959309625846615, -73.70901485021705 -39.959309625846615, -73.70901485021705 -39.999733813632, -73.74943903800242 -39.999733813632))",[<shapely.coords.CoordinateSequence object at 0x7f98916cb640>]
-0.3534002482796266,"POLYGON ((-73.70452327379644 -39.999733813632, -73.70452327379644 -39.959309625846615, -73.66859066243167 -39.959309625846615, -73.66859066243167 -39.999733813632, -73.70452327379644 -39.999733813632))",[<shapely.coords.CoordinateSequence object at 0x7f98916cbeb0>]
1.0208251663224401,"POLYGON ((-73.66409908601106 -39.999733813632, -73.66409908601106 -39.959309625846615, -73.5877422868609 -39.959309625846615, -73.5877422868609 -39.999733813632, -73.66409908601106 -39.999733813632))",[<shapely.coords.CoordinateSequence object at 0x7f98c0d24490>]
-0.26696331706642046,"POLYGON ((-73.99647574113528 -39.95481804942602, -73.99647574113528 -39.91888543806124, -73.92011894198512 -39.91888543806124, -73.92011894198512 -39.95481804942602, -73.99647574113528 -39.95481804942602))",[<shapely.coords.CoordinateSequence object at 0x7f98c0d18ac0>]
-0.2893749849392031,"POLYGON ((-73.87071160135855 -39.95481804942602, -73.87071160135855 -39.91888543806124, -73.83477898999378 -39.91888543806124, -73.83477898999378 -39.95481804942602, -73.87071160135855 -39.95481804942602))",[<shapely.coords.CoordinateSequence object at 0x7f98e07e52b0>]
-0.348721986001856,"POLYGON ((-73.83028741357317 -39.95481804942602, -73.83028741357317 -39.91888543806124, -73.75393061442301 -39.91888543806124, -73.75393061442301 -39.95481804942602, -73.83028741357317 -39.95481804942602))",[<shapely.coords.CoordinateSequence object at 0x7f98e07e5e80>]
-0.41930306028756326,"POLYGON ((-73.74943903800242 -39.95481804942602, -73.74943903800242 -39.91888543806124, -73.70901485021705 -39.91888543806124, -73.70901485021705 -39.95481804942602, -73.74943903800242 -39.95481804942602))",[<shapely.coords.CoordinateSequence object at 0x7f98c0d154c0>]
-0.38679264789624007,"POLYGON ((-73.70452327379644 -39.95481804942602, -73.70452327379644 -39.91888543806124, -73.66859066243167 -39.91888543806124, -73.66859066243167 -39.95481804942602, -73.70452327379644 -39.95481804942602))",[<shapely.coords.CoordinateSequence object at 0x7f98c0d15970>]
-0.30874164186688874,"POLYGON ((-73.66409908601106 -39.95481804942602, -73.66409908601106 -39.91888543806124, -73.5877422868609 -39.91888543806124, -73.5877422868609 -39.95481804942602, -73.66409908601106 -39.95481804942602))",[<shapely.coords.CoordinateSequence object at 0x7f989167bd30>]
