Fecha;hora;angulo;distance;ref_GPS ;Especie;numero_individuos;Comportamiento;Observaciones;lat;lon
25-08-2023;09:39;0;300;245;Delfin austral (Lagenorhynchus australis) ;8;Alimentandose ;Cerca de la playa de chaihuin;-39.956542;-73.599636
25-08-2023;09:40;45;500;246;Delfin austral (Lagenorhynchus australis) ;5;Navegando ;Mar afuera;-39.955867;-73.603433
25-08-2023;11:48;0;50;248;Delfin austral (Lagenorhynchus australis) ;3;Navegando ;Playa chaihuin;-39.928561;-73.645781
25-08-2023;12:18;270;20;249;Delfin austral (Lagenorhynchus australis) ;2;Navegando ;Playa chaihuin;-39.946614;-73.589837
25-08-2023;12:20;270;50;250;Delfin austral (Lagenorhynchus australis) ;3;Navegando ;;-39.948914;-73.58995899999999
25-08-2023;12:22;270;20;251;Delfin austral (Lagenorhynchus australis) ;12;Navegando ;;-39.950066;-73.590643
25-08-2023;12:33;315;30;252;Delfin austral (Lagenorhynchus australis) ;2;Navegando ;;-39.953533;-73.59388
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
