temp_raw,lat,lon,temp
18141.0,-39.999733813632,-73.99647574113528,11.769199999999998
18141.0,-39.999733813632,-73.9919841647147,11.769199999999998
18141.0,-39.999733813632,-73.98749258829409,11.769199999999998
18141.0,-39.999733813632,-73.9830010118735,11.769199999999998
18141.0,-39.999733813632,-73.97850943545289,11.769199999999998
18141.0,-39.999733813632,-73.9740178590323,11.769199999999998
18141.0,-39.999733813632,-73.9695262826117,11.769199999999998
18141.0,-39.999733813632,-73.9650347061911,11.769199999999998
18141.0,-39.999733813632,-73.96054312977051,11.769199999999998
18074.0,-39.999733813632,-73.95605155334991,11.688799999999997
18074.0,-39.999733813632,-73.95155997692932,11.688799999999997
18074.0,-39.999733813632,-73.94706840050871,11.688799999999997
18074.0,-39.999733813632,-73.94257682408812,11.688799999999997
18074.0,-39.999733813632,-73.93808524766752,11.688799999999997
18074.0,-39.999733813632,-73.93359367124692,11.688799999999997
18074.0,-39.999733813632,-73.92910209482632,11.688799999999997
18074.0,-39.999733813632,-73.92461051840573,11.688799999999997
18074.0,-39.999733813632,-73.92011894198512,11.688799999999997
17857.0,-39.999733813632,-73.91562736556453,11.4284
17857.0,-39.999733813632,-73.91113578914393,11.4284
17857.0,-39.999733813632,-73.90664421272334,11.4284
17857.0,-39.999733813632,-73.90215263630274,11.4284
17857.0,-39.999733813632,-73.89766105988214,11.4284
17857.0,-39.999733813632,-73.89316948346155,11.4284
17857.0,-39.999733813632,-73.88867790704094,11.4284
17857.0,-39.999733813632,-73.88418633062035,11.4284
17857.0,-39.999733813632,-73.87969475419975,11.4284
17857.0,-39.999733813632,-73.87520317777916,11.4284
17433.0,-39.999733813632,-73.87071160135855,10.919599999999999
17433.0,-39.999733813632,-73.86622002493796,10.919599999999999
17433.0,-39.999733813632,-73.86172844851735,10.919599999999999
17433.0,-39.999733813632,-73.85723687209676,10.919599999999999
17433.0,-39.999733813632,-73.85274529567616,10.919599999999999
17433.0,-39.999733813632,-73.84825371925557,10.919599999999999
17433.0,-39.999733813632,-73.84376214283498,10.919599999999999
17433.0,-39.999733813632,-73.83927056641437,10.919599999999999
17433.0,-39.999733813632,-73.83477898999378,10.919599999999999
17433.0,-39.999733813632,-73.83028741357317,10.919599999999999
17433.0,-39.999733813632,-73.82579583715258,10.919599999999999
17433.0,-39.999733813632,-73.82130426073198,10.919599999999999
17433.0,-39.999733813632,-73.81681268431139,10.919599999999999
17433.0,-39.999733813632,-73.81232110789078,10.919599999999999
17433.0,-39.999733813632,-73.80782953147019,10.919599999999999
17433.0,-39.999733813632,-73.80333795504959,10.919599999999999
17433.0,-39.999733813632,-73.798846378629,10.919599999999999
17433.0,-39.999733813632,-73.79435480220839,10.919599999999999
17120.0,-39.999733813632,-73.7898632257878,10.543999999999997
17120.0,-39.999733813632,-73.7853716493672,10.543999999999997
17120.0,-39.999733813632,-73.7808800729466,10.543999999999997
17120.0,-39.999733813632,-73.77638849652601,10.543999999999997
17120.0,-39.999733813632,-73.7718969201054,10.543999999999997
17120.0,-39.999733813632,-73.76740534368481,10.543999999999997
17120.0,-39.999733813632,-73.76291376726421,10.543999999999997
17120.0,-39.999733813632,-73.75842219084362,10.543999999999997
17120.0,-39.999733813632,-73.75393061442301,10.543999999999997
17067.5,-39.999733813632,-73.74943903800242,10.480999999999998
17067.5,-39.999733813632,-73.74494746158182,10.480999999999998
17067.5,-39.999733813632,-73.74045588516123,10.480999999999998
17067.5,-39.999733813632,-73.73596430874062,10.480999999999998
17067.5,-39.999733813632,-73.73147273232003,10.480999999999998
17067.5,-39.999733813632,-73.72698115589944,10.480999999999998
17067.5,-39.999733813632,-73.72248957947883,10.480999999999998
17067.5,-39.999733813632,-73.71799800305824,10.480999999999998
17067.5,-39.999733813632,-73.71350642663764,10.480999999999998
17067.5,-39.999733813632,-73.70901485021705,10.480999999999998
17541.0,-39.999733813632,-73.70452327379644,11.049199999999999
17541.0,-39.999733813632,-73.70003169737585,11.049199999999999
17541.0,-39.999733813632,-73.69554012095524,11.049199999999999
17541.0,-39.999733813632,-73.69104854453465,11.049199999999999
17541.0,-39.999733813632,-73.68655696811405,11.049199999999999
17541.0,-39.999733813632,-73.68206539169346,11.049199999999999
17541.0,-39.999733813632,-73.67757381527285,11.049199999999999
17541.0,-39.999733813632,-73.67308223885226,11.049199999999999
17541.0,-39.999733813632,-73.66859066243167,11.049199999999999
18141.0,-39.9952422372114,-73.99647574113528,11.769199999999998
18141.0,-39.9952422372114,-73.9919841647147,11.769199999999998
18141.0,-39.9952422372114,-73.98749258829409,11.769199999999998
18141.0,-39.9952422372114,-73.9830010118735,11.769199999999998
18141.0,-39.9952422372114,-73.97850943545289,11.769199999999998
18141.0,-39.9952422372114,-73.9740178590323,11.769199999999998
18141.0,-39.9952422372114,-73.9695262826117,11.769199999999998
18141.0,-39.9952422372114,-73.9650347061911,11.769199999999998
18141.0,-39.9952422372114,-73.96054312977051,11.769199999999998
18074.0,-39.9952422372114,-73.95605155334991,11.688799999999997
18074.0,-39.9952422372114,-73.95155997692932,11.688799999999997
18074.0,-39.9952422372114,-73.94706840050871,11.688799999999997
18074.0,-39.9952422372114,-73.94257682408812,11.688799999999997
18074.0,-39.9952422372114,-73.93808524766752,11.688799999999997
18074.0,-39.9952422372114,-73.93359367124692,11.688799999999997
18074.0,-39.9952422372114,-73.92910209482632,11.688799999999997
18074.0,-39.9952422372114,-73.92461051840573,11.688799999999997
18074.0,-39.9952422372114,-73.92011894198512,11.688799999999997
17857.0,-39.9952422372114,-73.91562736556453,11.4284
