chlor,lat,lon
328.5,-39.999733813632,-73.99647574113528
328.5,-39.999733813632,-73.9919841647147
328.5,-39.999733813632,-73.98749258829409
328.5,-39.999733813632,-73.9830010118735
328.5,-39.999733813632,-73.97850943545289
328.5,-39.999733813632,-73.9740178590323
328.5,-39.999733813632,-73.9695262826117
328.5,-39.999733813632,-73.9650347061911
328.5,-39.999733813632,-73.96054312977051
374.0,-39.999733813632,-73.95605155334991
374.0,-39.999733813632,-73.95155997692932
374.0,-39.999733813632,-73.94706840050871
374.0,-39.999733813632,-73.94257682408812
374.0,-39.999733813632,-73.93808524766752
374.0,-39.999733813632,-73.93359367124692
374.0,-39.999733813632,-73.92910209482632
374.0,-39.999733813632,-73.92461051840573
374.0,-39.999733813632,-73.92011894198512
372.5,-39.999733813632,-73.91562736556453
372.5,-39.999733813632,-73.91113578914393
372.5,-39.999733813632,-73.90664421272334
372.5,-39.999733813632,-73.90215263630274
372.5,-39.999733813632,-73.89766105988214
372.5,-39.999733813632,-73.89316948346155
372.5,-39.999733813632,-73.88867790704094
372.5,-39.999733813632,-73.88418633062035
372.5,-39.999733813632,-73.87969475419975
372.5,-39.999733813632,-73.87520317777916
240.0,-39.999733813632,-73.87071160135855
240.0,-39.999733813632,-73.86622002493796
240.0,-39.999733813632,-73.86172844851735
240.0,-39.999733813632,-73.85723687209676
240.0,-39.999733813632,-73.85274529567616
240.0,-39.999733813632,-73.84825371925557
240.0,-39.999733813632,-73.84376214283498
240.0,-39.999733813632,-73.83927056641437
240.0,-39.999733813632,-73.83477898999378
240.0,-39.999733813632,-73.83028741357317
240.0,-39.999733813632,-73.82579583715258
240.0,-39.999733813632,-73.82130426073198
240.0,-39.999733813632,-73.81681268431139
240.0,-39.999733813632,-73.81232110789078
240.0,-39.999733813632,-73.80782953147019
240.0,-39.999733813632,-73.80333795504959
240.0,-39.999733813632,-73.798846378629
240.0,-39.999733813632,-73.79435480220839
227.0,-39.999733813632,-73.7898632257878
227.0,-39.999733813632,-73.7853716493672
227.0,-39.999733813632,-73.7808800729466
227.0,-39.999733813632,-73.77638849652601
227.0,-39.999733813632,-73.7718969201054
227.0,-39.999733813632,-73.76740534368481
227.0,-39.999733813632,-73.76291376726421
227.0,-39.999733813632,-73.75842219084362
227.0,-39.999733813632,-73.75393061442301
220.0,-39.999733813632,-73.74943903800242
220.0,-39.999733813632,-73.74494746158182
220.0,-39.999733813632,-73.74045588516123
220.0,-39.999733813632,-73.73596430874062
220.0,-39.999733813632,-73.73147273232003
220.0,-39.999733813632,-73.72698115589944
220.0,-39.999733813632,-73.72248957947883
220.0,-39.999733813632,-73.71799800305824
220.0,-39.999733813632,-73.71350642663764
